id,assd
I503156,0.3127822279930115
I389994,0.48845750093460083
I1037417,0.3657737076282501
I1555916,0.4758404493331909
I1037803,0.4212370216846466
I308178,0.2839655578136444
I1639974,0.3594423234462738
I1560259,0.38459834456443787
I1003400,0.35031774640083313
I499406,0.40034541487693787
I311862,0.4632084369659424
I346460,0.3040291965007782
I389908,0.4031546413898468
I421732,0.4851132035255432
I1029013,0.30994829535484314
I259796,0.2984885275363922
I497118,0.46950197219848633
I429583,0.43865248560905457
I513714,0.29826194047927856
I1634180,0.38649553060531616
0256,0.30739331245422363
0112,0.2920368015766144
0255,0.49447065591812134
0113,0.3572630286216736
0170,0.2970632016658783
0169,0.36289268732070923
0279,0.4883255362510681
0199,0.4442552924156189
0146,0.46530681848526
0019,0.3082391917705536
0254,0.30536118149757385
0197,0.3984404504299164
0013,0.4457609951496124
0110,0.4398856461048126
0195,0.4820282459259033
0062,0.37233975529670715
0201,0.37131401896476746
0075,0.3003561198711395
0176,0.4497052729129791
0010,0.36873555183410645
0220,0.30625206232070923
0138,0.3801735043525696
0221,0.3754327893257141
0260,0.36819472908973694
0032,0.30932435393333435
0244,0.4069806933403015
0106,0.28420811891555786
0212,0.4749879240989685
0180,0.49392327666282654
0001,0.3550099730491638
